150	KeSetTimerEx	stdcall
151	KeStallExecutionProcessor	stdcall
152	KeSuspendThread	stdcall
153	KeSynchronizeExecution	stdcall
154	KeSystemTime	?
155	KeTestAlertThread	stdcall
156	KeTickCount	?
157	KeTimeIncrement	?
158	KeWaitForMultipleObjects	stdcall
159	KeWaitForSingleObject	stdcall
160	KfRaiseIrql	fastcall
161	KfLowerIrql	fastcall
162	KiBugCheckData	?
163	KiUnlockDispatcherDatabase	fastcall
164	LaunchDataPage	?
165	MmAllocateContiguousMemory	stdcall
166	MmAllocateContiguousMemoryEx	stdcall
167	MmAllocateSystemMemory	stdcall
168	MmClaimGpuInstanceMemory	stdcall
169	MmCreateKernelStack	stdcall
170	MmDeleteKernelStack	stdcall
171	MmFreeContiguousMemory	stdcall
172	MmFreeSystemMemory	stdcall
173	MmGetPhysicalAddress	stdcall
174	MmIsAddressValid	stdcall
175	MmLockUnlockBufferPages	stdcall
176	MmLockUnlockPhysicalPage	stdcall
177	MmMapIoSpace	stdcall
178	MmPersistContiguousMemory	stdcall
179	MmQueryAddressProtect	stdcall
180	MmQueryAllocationSize	stdcall
181	MmQueryStatistics	stdcall
182	MmSetAddressProtect	stdcall
183	MmUnmapIoSpace	stdcall
184	NtAllocateVirtualMemory	stdcall
185	NtCancelTimer	stdcall
186	NtClearEvent	stdcall
187	NtClose	stdcall
188	NtCreateDirectoryObject	stdcall
189	NtCreateEvent	stdcall
190	NtCreateFile	stdcall
191	NtCreateIoCompletion	stdcall
192	NtCreateMutant	stdcall
193	NtCreateSemaphore	stdcall
194	NtCreateTimer	stdcall
195	NtDeleteFile	stdcall
196	NtDeviceIoControlFile	stdcall
197	NtDuplicateObject	stdcall
198	NtFlushBuffersFile	stdcall
199	NtFreeVirtualMemory	stdcall
200	NtFsControlFile	stdcall
201	NtOpenDirectoryObject	stdcall
202	NtOpenFile	stdcall
203	NtOpenSymbolicLinkObject	stdcall
204	NtProtectVirtualMemory	stdcall
205	NtPulseEvent	stdcall
206	NtQueueApcThread	stdcall
207	NtQueryDirectoryFile	stdcall
208	NtQueryDirectoryObject	stdcall
209	NtQueryEvent	stdcall
210	NtQueryFullAttributesFile	stdcall
211	NtQueryInformationFile	stdcall
212	NtQueryIoCompletion	stdcall
213	NtQueryMutant	stdcall
214	NtQuerySemaphore	stdcall
215	NtQuerySymbolicLinkObject	stdcall
216	NtQueryTimer	stdcall
217	NtQueryVirtualMemory	stdcall
218	NtQueryVolumeInformationFile	stdcall
219	NtReadFile	stdcall
220	NtReadFileScatter	stdcall
221	NtReleaseMutant	stdcall
222	NtReleaseSemaphore	stdcall
223	NtRemoveIoCompletion	stdcall
224	NtResumeThread	stdcall
225	NtSetEvent	stdcall
226	NtSetInformationFile	stdcall
227	NtSetIoCompletion	stdcall
228	NtSetSystemTime	stdcall
229	NtSetTimerEx	stdcall
230	NtSignalAndWaitForSingleObjectEx	stdcall
231	NtSuspendThread	stdcall
232	NtUserIoApcDispatcher	stdcall
233	NtWaitForSingleObject	stdcall
234	NtWaitForSingleObjectEx	stdcall
235	NtWaitForMultipleObjectsEx	stdcall
236	NtWriteFile	stdcall
237	NtWriteFileGather	stdcall
238	NtYieldExecution	stdcall
239	ObCreateObject	stdcall
240	ObDirectoryObjectType	?
241	ObInsertObject	stdcall
242	ObMakeTemporaryObject	stdcall
243	ObOpenObjectByName	stdcall
244	ObOpenObjectByPointer	stdcall
245	ObpObjectHandleTable	?
246	ObReferenceObjectByHandle	stdcall
247	ObReferenceObjectByName	stdcall
248	ObReferenceObjectByPointer	stdcall
249	ObSymbolicLinkObjectType	?
250	ObfDereferenceObject	fastcall
251	ObfReferenceObject	fastcall
252	PhyGetLinkState	stdcall
253	PhyInitialize	stdcall
254	PsCreateSystemThread	stdcall
255	PsCreateSystemThreadEx	stdcall
256	PsQueryStatistics	stdcall
257	PsSetCreateThreadNotifyRoutine	stdcall
258	PsTerminateSystemThread	stdcall
259	PsThreadObjectType	?
260	RtlAnsiStringToUnicodeString	stdcall
261	RtlAppendStringToString	stdcall
262	RtlAppendUnicodeStringToString	stdcall
263	RtlAppendUnicodeToString	stdcall
